Treatment,Tank,Substrate_Type,Substrate_Label,Source_Parent,Polyp_Number,Photo_Taken_02.08,Surface_Area_02.08,Perimeter_02.08,Photo_Taken_11.08,Surface_Area_11.08,Perimeter_11.08,SA_Change,Perim_Change
HD,HD_1,Disc,P112,C8,1,Day_3,0.998,3.626,Day_12,1.168,3.98,17.03406814,9.762824049
HD,HD_1,Disc,P113,C8,1,Day_3,0.585,2.745,Day_12,0.636,2.9,8.717948718,5.646630237
HD,HD_1,Disc,P113,C8,2,Day_3,0.633,2.868,Day_12,0.709,3.06,12.00631912,6.694560669
HD,HD_1,Disc,P114,C8,1,Day_3,1.775,4.835,Day_12,1.878,4.995,5.802816901,3.309203723
HD,HD_1,Disc,115,C8,1,Day_3,0.899,3.457,Day_12,0.963,3.581,7.119021135,3.58692508
HD,HD_1,Disc,115,C8,2,Day_3,2.53,5.778,Day_12,2.586,5.894,2.213438735,2.007615092
HD,HD_1,Disc,P58,C8,1,Day_3,1.523,4.515,Day_12,1.604,4.612,5.318450427,2.148394241
HD,HD_1,Disc,P58,C8,2,Day_3,1.116,3.862,Day_12,1.21,4.019,8.422939068,4.065251165
HD,HD_1,Disc,P2,C1,1,Day_3,0.198,1.672,Day_12,0.284,1.935,43.43434343,15.72966507
HD,HD_1,Disc,101,C2,1,Day_3,1.61,5.66,Day_12,2.018,5.517,25.34161491,-2.526501767
HD,HD_1,Disc,P9,C3,1,Day_3,1.108,3.923,Day_12,1.216,4.055,9.747292419,3.364771858
HD,HD_1,Disc,P9,C3,2,Day_3,1.144,4.205,Day_12,1.195,4.181,4.458041958,-0.570749108
HD,HD_1,Tile,P123,Pool_B,1,Day_3,2.872,6.184,Day_12,2.696,6.152,-6.128133705,-0.517464424
HD,HD_1,Disc,P19,C2a,1,Day_3,1.743,4.967,Day_12,1.437,4.453,-17.55593804,-10.34829877
HD,HD_1,Disc,P131,C4,1,Day_3,1.156,4.208,Day_12,1.27,4.304,9.861591696,2.281368821
HD,HD_1,Tile,F,C2c,1,Day_3,1.765,4.832,Day_12,1.832,4.943,3.796033994,2.29718543
HD,HD_1,Disc,M,Unknown,1,Day_3,2.803,6.44,Day_12,3.179,6.94,13.41419907,7.763975155
HD,HD_2,Disc,P74,C8,1,Day_3,0.918,3.471,Day_12,1.005,3.647,9.477124183,5.070584846
HD,HD_2,Disc,P76,C8,1,Day_3,1.973,5.121,Day_12,2.197,5.481,11.35326913,7.029876977
HD,HD_2,Disc,P77,C8,1,Day_3,0.7,3.022,Day_12,0.891,3.444,27.28571429,13.96426208
HD,HD_2,Disc,P77,C8,2,Day_3,0.253,1.828,Day_12,0.256,1.825,1.185770751,-0.164113786
HD,HD_2,Disc,P91,C8,1,Day_3,2.596,5.844,Day_12,2.77,6.04,6.702619414,3.353867214
HD,HD_2,Disc,P32,C2b,1,Day_3,1.002,3.674,Day_12,0.904,3.495,-9.780439122,-4.872074034
HD,HD_2,Disc,P78,,1,,,,Day_12,1.32,4.19,,
HD,HD_2,Disc,102,C2,1,Day_3,1.052,4.214,Day_12,1.025,4.088,-2.566539924,-2.990033223
HD,HD_2,Disc,P50,C1b,1,Day_3,2.399,5.558,Day_12,2.116,5.249,-11.79658191,-5.559553796
HD,HD_2,Disc,P11,C3,1,Day_3,3.117,6.398,Day_12,3.118,6.504,0.03208213,1.65676774
HD,HD_2,Disc,P11,C3,2,Day_3,2.475,5.703,Day_12,2.262,5.468,-8.606060606,-4.120638261
HD,HD_2,Tile,P110,Pool_Bb,1,Day_3,2.221,5.511,Day_12,2.424,5.682,9.140027015,3.102885139
HD,HD_2,Tile,I,C2c,1,Day_3,2.665,6.001,Day_12,2.923,6.276,9.681050657,4.582569572
HD,HD_2,Tile,I,C2c,2,Day_3,2.515,5.694,Day_12,2.271,5.492,-9.701789264,-3.547593959
HD,HD_2,Tile,I,C2c,3,,,,Day_12,1.654,4.717,,
HD,HD_2,Tile,I,C2c,4,,,,Day_12,0.987,3.656,,
HD,HD_2,Tile,I,C2c,5,,,,Day_12,2.151,5.471,,
HD,HD_2,Tile,I,C2c,6,,,,Day_12,1.767,4.918,,
HD,HD_2,Disc,N,Unknown,1,Day_3,1.964,5.192,Day_12,2.308,5.866,17.51527495,12.98151002
HD,HD_2,Disc,N,Unknown,2,Day_3,2.057,5.355,Day_12,2.212,5.662,7.535245503,5.732959851
LD,LD_1,Disc,P61,C8,1,Day_3,1.076,3.784,Day_12,1.006,3.665,-6.505576208,-3.144820296
LD,LD_1,Disc,P61,C8,2,Day_3,2.338,5.571,Day_12,2.339,5.602,0.0427716,0.55645306
LD,LD_1,Disc,P62,C8,1,Day_3,2.179,5.334,Day_12,1.221,4.128,-43.96512162,-22.60967379
LD,LD_1,Disc,P62,C8,2,Day_3,,,Day_12,1.828,4.876,,
LD,LD_1,Disc,P67,C8,1,Day_3,1.944,5.04,Day_12,2.04,5.182,4.938271605,2.817460317
LD,LD_1,Disc,P66,C8,1,Day_3,0.518,2.635,Day_12,,,,
LD,LD_1,Disc,P66,C8,2,Day_3,1.56,4.597,,1.811,16.08974359,7.613661083,0.35
LD,LD_1,Disc,P12,C3,1,Day_3,2.034,5.157,Day_12,2.34,5.332,15.04424779,3.393445802
LD,LD_1,Disc,P12,C3,2,Day_3,2.583,5.824,Day_12,2.814,6.082,8.943089431,4.429945055
LD,LD_1,Disc,103,C2,1,Day_3,2.61,5.81,Day_12,2.583,5.772,-1.034482759,-0.65404475
LD,LD_1,Disc,103,C2,2,Day_3,1.318,4.425,Day_12,1.401,4.411,6.297420334,-0.316384181
LD,LD_1,Tile,P124,Pool_B,1,Day_3,2.117,5.275,Day_12,1.974,5.097,-6.754841757,-3.374407583
LD,LD_1,Tile,P124,Pool_B,2,Day_3,0.887,3.549,Day_12,1.401,4.295,57.9481398,21.02000564
LD,LD_1,Tile,P124,Pool_B,3,Day_3,0.094,1.104,Day_12,0.093,1.1,-1.063829787,-0.362318841
LD,LD_1,Tile,P111,Pool_Bb,1,Day_3,0.909,3.527,Day_12,0.904,3.471,-0.550055006,-1.58775163
LD,LD_1,Disc,P20,C2a,1,Day_3,2.309,6.892,Day_12,2.942,6.529,27.41446514,-5.266976204
LD,LD_1,Tile,J,C2c,1,Day_3,2.071,5.26,Day_12,2.99,6.314,44.37469821,20.03802281
LD,LD_1,Disc,P,Unknown,1,Day_3,2.496,6.092,Day_12,2.604,6.096,4.326923077,0.065659882
LD,LD_1,Disc,P,Unknown,2,Day_3,1.551,7.144,Day_12,1.841,5.597,18.69761444,-21.65453527
LD,LD_2,Disc,P57,C8,1,Day_3,0.938,3.49,Day_12,1.024,3.741,9.168443497,7.191977077
LD,LD_2,Disc,P57,C8,2,Day_3,1.617,4.603,Day_12,1.611,4.638,-0.371057514,0.760373669
LD,LD_2,Disc,P59,C8,1,Day_3,1.905,5.057,Day_12,1.851,5.004,-2.834645669,-1.048052205
LD,LD_2,Disc,P59,C8,2,Day_3,1.39,4.383,Day_12,1.415,4.317,1.798561151,-1.505817933
LD,LD_2,Disc,P70,C8,1,Day_3,0.752,3.142,Day_12,0.78,3.228,3.723404255,2.737110121
LD,LD_2,Disc,P97,C8,1,Day_3,1.532,4.52,Day_12,1.416,4.337,-7.571801567,-4.048672566
LD,LD_2,Disc,P95,C8,1,Day_3,1.28,4.098,Day_12,1.389,4.293,8.515625,4.758418741
LD,LD_2,Disc,P25,C2b,1,Day_3,0.778,3.298,Day_12,0.942,3.551,21.07969152,7.671315949
LD,LD_2,Disc,P25,C2b,2,,,,Day_12,1.463,4.54,,
LD,LD_2,Disc,104,C2,1,Day_3,1.125,4.024,Day_12,0.97,4.01,-13.77777778,-0.347912525
LD,LD_2,Disc,104,C2,2,Day_3,1.373,4.735,Day_12,1.27,4.423,-7.50182083,-6.589229145
LD,LD_2,Disc,P51,C1b,1,Day_3,2.672,5.889,Day_12,2.349,5.547,-12.08832335,-5.807437596
LD,LD_2,Disc,P13,C3,1&2,Day_3,2.386,5.818,Day_12,2.561,5.929,7.334450964,1.907872121
LD,LD_2,Tile,P132,C4,1,Day_3,2.53,5.96,Day_12,2.415,5.694,-4.545454545,-4.463087248
LD,LD_2,Tile,P132,C4,2,Day_3,0.513,2.576,Day_12,0.439,2.388,-14.42495127,-7.298136646
LD,LD_2,Tile,P132,C4,3,Day_3,2.362,5.762,Day_12,2.344,5.623,-0.762066046,-2.412356821
LD,LD_2,Tile,A,Pool_CH_10.07,1,Day_3,1.698,4.681,Day_12,1.758,4.809,3.533568905,2.734458449
LD,LD_2,Disc,Q,Unknown,1,Day_3,2.152,5.781,Day_12,1.993,5.527,-7.388475836,-4.393703512
C,C_1,Disc,P104,C8,1,Day_3,0.894,3.552,Day_12,1.065,4.115,19.12751678,15.85022523
C,C_1,Disc,P105,C8,1,Day_3,0.65,2.904,Day_12,0.667,2.997,2.615384615,3.202479339
C,C_1,Disc,P100,C8,1,Day_3,0.529,2.625,Day_12,0.486,2.532,-8.128544423,-3.542857143
C,C_1,Disc,P109,C8,1,Day_3,1.033,3.662,Day_12,1.076,3.755,4.162633107,2.539595849
C,C_1,Disc,P109,C8,2,Day_3,0.997,3.595,Day_12,0.975,3.598,-2.20661986,0.083449235
C,C_1,Disc,P102,C8,1,Day_3,1.94,5.119,Day_12,1.934,5.233,-0.309278351,2.22699746
C,C_1,Disc,P101,C8,1,Day_3,0.887,3.472,Day_12,0.887,3.438,0,-0.979262673
C,C_1,Disc,P10,C3,1,Day_3,1.843,4.898,Day_12,2.146,5.268,16.440586,7.554103716
C,C_1,Disc,106,C2,1,Day_3,1.567,4.707,Day_12,1.408,4.688,-10.14677728,-0.403654132
C,C_1,Disc,106,C2,2,Day_3,2.25,6.908,Day_12,2.307,6.269,2.533333333,-9.25014476
C,C_1,Tile,P121,C1_12.07,1,Day_3,3.433,6.701,Day_12,3.449,6.729,0.466064666,0.417848082
C,C_1,Tile,P112,Pool_Bb,1,Day_3,1.818,5.133,Day_12,1.642,4.817,-9.680968097,-6.156243912
C,C_1,Disc,P21,C2a,1,Day_3,2.188,5.602,Day_12,2.256,6.289,3.10786106,12.26347733
C,C_1,Disc,P21,C2a,2,Day_3,1.668,5.092,Day_12,2.597,6.119,55.69544365,20.16889238
C,C_1,Tile,K,C2c,1,Day_3,2.065,5.227,Day_12,1.98,5.176,-4.11622276,-0.97570308
C,C_1,Tile,R,Unknown,1,Day_3,1.723,4.818,Day_12,1.866,5.045,8.299477655,4.711498547
C,C_2,Disc,P84,C8,1,Day_3,1.053,3.729,Day_12,1.141,3.924,8.357075024,5.22928399
C,C_2,Disc,P84,C8,2,Day_3,0.504,2.569,Day_12,0.491,2.56,-2.579365079,-0.350330868
C,C_2,Disc,P89,C8,1,Day_3,1.982,5.102,Day_12,1.608,4.779,-18.86982846,-6.330850647
C,C_2,Disc,P83,C8,1,Day_3,1.552,4.531,Day_12,1.467,4.442,-5.476804124,-1.964246303
C,C_2,Disc,P82,C8,1,Day_3,1.475,4.382,Day_12,1.516,4.482,2.779661017,2.282062985
C,C_2,Disc,P92,C8,1,Day_3,0.389,2.254,Day_12,0.355,2.171,-8.740359897,-3.682342502
C,C_2,Disc,P28,C2b,1,Day_3,1.467,4.343,Day_12,1.666,4.684,13.56509884,7.851715404
C,C_2,Disc,P54,C1b,1,Day_3,2.351,5.537,Day_12,2.407,5.6,2.381965121,1.137800253
C,C_2,Disc,P16,C3,1,Day_3,0.916,4.14,Day_12,1.121,4.412,22.37991266,6.570048309
C,C_2,Disc,P16,C3,2,,,,Day_12,0.641,3.064,,
C,C_2,Disc,P38,Pool_A,1,Day_3,1.376,4.325,Day_12,1.467,4.411,6.613372093,1.988439306
C,C_2,Tile,B,Pool_CH,1,Day_3,2.781,6.019,Day_12,2.658,5.926,-4.422869471,-1.545107161
C,C_2,Tile,B,Pool_CH,2,,,,Day_12,0.55,2.695,,
C,C_2,Tile,L,C2c,1,Day_3,2.644,5.862,Day_12,2.542,5.757,-3.857791225,-1.791197544
C,C_2,Tile,S,Unknown,1,Day_3,1.025,3.74,Day_12,1.271,4.105,24,9.759358289
